,shading60,move_sequence,shading_move_0,shading_move_1,shading_move_2,shading_move_3,shading_move_4,shading_move_5,shading_move_6,shading_move_7,shading_move_8,shading_move_9,shading_move_10,shading_move_11,shading_move_12,read_sequence
SPC_4000,22.0,0011010010001,22.0,19.2,16.6,19.8,22.0,19.8,22.0,19.2,19.8,22.0,19.2,19.2,16.6,0110000100111
SPC_4001,25.5,0110000101000,25.5,20.8,20.8,25.5,23.0,25.5,25.5,23.5,25.5,20.8,25.5,25.5,25.5,0110100001000
SPC_4002,24.5,0001000010000,24.5,21.9,21.9,22.4,21.9,21.9,21.9,21.9,22.4,21.9,24.5,21.9,24.5,0110111101010
SPC_4003,24.8,0100011110110,24.8,22.8,24.8,24.8,24.8,22.8,19.9,22.8,19.9,24.8,19.9,19.9,22.2,0000001010111
SPC_4004,27.4,0101001101100,27.4,25.6,27.4,25.6,27.4,27.4,25.6,25.6,25.2,25.6,23.1,27.4,25.2,0000000010101
SPC_4005,23.4,0001100011101,23.4,20.7,20.7,21.3,21.3,23.4,23.4,20.7,18.2,21.3,21.3,20.7,21.3,0110000110010
SPC_4006,22.9,0000011011000,22.9,20.2,20.2,20.2,22.9,17.7,20.8,22.9,17.7,20.8,20.2,22.9,20.2,0111010010101
SPC_4007,27.0,0000110110101,27.0,24.8,27.0,24.8,25.3,22.7,27.0,22.7,22.7,27.0,25.3,24.8,25.3,0101010110010
SPC_4008,27.1,0011001101111,27.1,27.1,22.8,25.3,24.9,27.1,22.8,22.8,27.1,25.3,25.3,22.8,25.3,0010101100010
SPC_4009,25.4,0010000100101,25.4,22.9,23.4,25.4,25.4,22.9,25.4,23.4,22.9,22.9,23.4,25.4,20.6,0100010011001
SPC_4010,24.1,0111100101100,24.1,19.1,22.0,22.0,19.1,21.5,21.5,22.0,21.5,22.0,22.0,21.5,24.1,0100111010010
SPC_4011,23.9,0111001010110,23.9,21.9,18.9,18.9,21.3,23.9,21.9,23.9,21.9,21.3,18.9,18.9,21.3,0011100001111
SPC_4012,27.0,0100010101111,27.0,22.6,27.0,24.7,24.7,25.2,27.0,25.2,24.7,22.6,25.2,22.6,22.6,0101100011011
SPC_4013,22.1,0111001101100,22.1,19.9,16.7,16.7,22.1,22.1,16.7,19.9,19.3,19.9,19.9,22.1,22.1,0011001010000
